Month,Department,Budgeted Amount,Actual Spending,Variance,Merchant,Description,Date,Feature
May,Sales,9429,10475,1046,Apple Store,online shopping,2024-12-05,Shopping
Oct,IT,13509,11744,-1765,Uber,ride,2029-06-27,Transportation
Apr,IT,17393,14430,-2963,Netflix,movie,2025-12-02,Entertainment
Dec,Finance,17633,19327,1694,Shell,fuel purchase,2026-01-17,Fuel
Nov,Marketing,9638,10549,911,McDonald's,food,2023-11-12,Food & Dining
Nov,Finance,11837,11230,-607,Amazon,online_shopping,2026-02-08,Shopping
May,HR,15455,12990,-2465,McDonald's,drinks,2029-04-13,Food & Dining
Aug,IT,17954,18419,465,Uber,travel,2027-11-26,Transportation
Aug,Operations,6039,5715,-324,Starbucks,food,2029-04-16,Food & Dining
Nov,Operations,19949,18253,-1696,McDonald's,drinks,2023-10-27,Food & Dining
Mar,Sales,5329,5580,251,Flipkart,online shopping,2029-01-31,Shopping
Jan,Marketing,6526,7153,627,Apple Store,online shopping,2026-05-18,Shopping
Jan,Marketing,13520,14935,1415,McDonald's,food,2023-08-06,Food & Dining
May,Sales,16670,14863,-1807,Shell,petrol,2023-12-09,Fuel
Sep,IT,14793,12601,-2192,Shell,petrol,2024-11-27,Fuel
Oct,Finance,16705,13753,-2952,McDonald's,meal,2027-07-30,Food & Dining
Jul,Sales,8126,5367,-2759,Netflix,monthly subscription,2029-08-18,Subscription
May,Sales,7888,8282,394,Starbucks,food,2028-07-02,Food & Dining
Nov,Sales,8420,8708,288,Netflix,monthly subscription,2028-02-04,Subscription
Jan,HR,5341,2992,-2349,Netflix,movie,2024-07-10,Entertainment
May,Marketing,7517,9996,2479,Starbucks,food,2023-07-05,Food & Dining
Sep,Finance,8665,7501,-1164,Shell,petrol,2024-01-27,Fuel
Jun,HR,6904,7851,947,Amazon,online shopping,2025-04-18,Shopping
Jun,HR,7343,8780,1437,Flipkart,movie subscription,2026-02-07,Entertainment
Dec,IT,10787,11854,1067,Apple Store,online shopping,2028-01-13,Shopping
Mar,Marketing,10461,9773,-688,Flipkart,online_shopping,2027-08-08,Shopping
Mar,Sales,10395,11284,889,Apple Store,online shopping,2023-07-05,Shopping
Jul,HR,14558,12192,-2366,Uber,ride,2027-09-16,Transportation
May,Finance,5833,5048,-785,McDonald's,drinks,2029-02-08,Food & Dining
Nov,HR,8127,7897,-230,Shell,petrol,2023-04-06,Fuel
Sep,Marketing,7549,5323,-2226,McDonald's,drinks,2023-09-09,Food & Dining
Aug,Operations,13946,11629,-2317,Apple Store,online shopping,2027-10-29,Shopping
Feb,Sales,9641,7891,-1750,Apple Store,online shopping,2026-07-27,Shopping
Dec,HR,10520,7558,-2962,Netflix,movie,2024-04-20,Entertainment
May,Finance,6223,5795,-428,Amazon,online shopping,2026-10-27,Shopping
Feb,Operations,15983,13512,-2471,Shell,diesel,2028-09-25,Fuel
Jun,Sales,13996,13504,-492,Netflix,movie subscription,2027-04-15,Entertainment
Oct,IT,15306,14271,-1035,Shell,diesel,2029-06-30,Fuel
May,Sales,12421,10850,-1571,Shell,fuel purchase,2027-04-18,Fuel
Jul,Marketing,17185,14709,-2476,McDonald's,coffee purchase,2024-09-06,Food & Dining
Jun,IT,14694,15163,469,Apple Store,app purchase,2027-01-05,Digital Services
Jun,Marketing,12341,14597,2256,Apple Store,online shopping,2028-12-20,Shopping
Jun,HR,6552,7435,883,McDonald's,coffee purchase,2024-07-04,Food & Dining
Aug,IT,18886,17773,-1113,Shell,diesel,2024-05-04,Fuel
Nov,Operations,6959,8316,1357,Apple Store,app purchase,2026-03-21,Digital Services
Dec,Sales,12915,12595,-320,Shell,diesel,2026-04-26,Fuel
Nov,Finance,15417,17446,2029,Starbucks,drinks,2024-04-12,Food & Dining
Jan,Marketing,14934,17046,2112,Starbucks,drinks,2026-05-26,Food & Dining
Apr,Operations,7572,4935,-2637,Shell,fuel purchase,2023-11-26,Fuel
Sep,Marketing,18739,19083,344,Flipkart,online_shopping,2027-05-06,Shopping
Feb,IT,13459,12903,-556,Amazon,movie subscription,2023-08-10,Entertainment
Oct,HR,17886,19712,1826,McDonald's,food,2026-07-14,Food & Dining
Feb,HR,11850,10873,-977,Amazon,online_shopping,2027-12-14,Shopping
Dec,Sales,13117,15678,2561,McDonald's,food,2024-06-19,Food & Dining
Jan,Finance,6258,8123,1865,McDonald's,drinks,2025-12-21,Food & Dining
Oct,Finance,13635,12792,-843,Uber,travel,2026-05-11,Transportation
Feb,Sales,12300,14405,2105,Netflix,movie,2027-03-09,Entertainment
Feb,IT,5901,4324,-1577,Uber,ride to work,2027-11-10,Transportation
Feb,Sales,19359,17809,-1550,Netflix,monthly subscription,2023-04-08,Subscription
Apr,IT,17722,14932,-2790,Amazon,movie subscription,2027-09-16,Entertainment
Mar,Operations,19213,17453,-1760,Shell,petrol,2027-03-14,Fuel
Jan,Operations,16863,15449,-1414,Apple Store,app purchase,2027-04-27,Digital Services
Dec,Operations,15288,13011,-2277,Apple Store,app purchase,2024-08-09,Digital Services
Mar,Marketing,7242,8137,895,Flipkart,online_shopping,2025-05-21,Shopping
Jun,HR,17599,16731,-868,Uber,ride to work,2026-08-19,Transportation
May,Marketing,10367,13025,2658,Flipkart,online_shopping,2029-07-13,Shopping
Mar,Finance,13187,12097,-1090,McDonald's,coffee purchase,2029-01-03,Food & Dining
Jul,Operations,5334,4871,-463,McDonald's,coffee purchase,2028-10-02,Food & Dining
Apr,Operations,19667,18935,-732,Apple Store,online shopping,2028-12-27,Shopping
Oct,Finance,12146,13669,1523,Starbucks,food,2027-07-28,Food & Dining
May,IT,19643,19494,-149,Amazon,online shopping,2026-05-10,Shopping
Apr,Sales,10394,7758,-2636,Amazon,online shopping,2027-04-25,Shopping
Dec,IT,11456,13621,2165,Amazon,movie subscription,2027-02-03,Entertainment
Jan,Operations,10142,8456,-1686,Uber,ride,2026-09-20,Transportation
Apr,Sales,10075,9208,-867,McDonald's,meal,2025-01-08,Food & Dining
Sep,Finance,7390,9834,2444,Amazon,online_shopping,2024-07-01,Shopping
Dec,Operations,19205,20258,1053,Shell,fuel purchase,2029-08-04,Fuel
Jan,Operations,7187,8134,947,Uber,ride to work,2029-02-20,Transportation
Oct,Finance,18785,19588,803,Shell,diesel,2028-03-24,Fuel
Aug,Operations,13046,10161,-2885,Uber,ride,2025-11-14,Transportation
Aug,IT,13938,16139,2201,Apple Store,app purchase,2026-01-22,Digital Services
Oct,IT,12596,14385,1789,Apple Store,online shopping,2024-09-10,Shopping
May,HR,15258,13339,-1919,McDonald's,meal,2025-11-28,Food & Dining
May,IT,10347,11840,1493,Amazon,movie subscription,2024-03-16,Entertainment
Aug,Sales,14861,16185,1324,Apple Store,app purchase,2029-07-18,Digital Services
Oct,Sales,18386,20798,2412,Netflix,entertainment,2027-07-10,Entertainment
Nov,Marketing,12011,11069,-942,Uber,ride to work,2025-05-18,Transportation
Mar,HR,8249,6295,-1954,Flipkart,online shopping,2025-09-22,Shopping
Nov,HR,10622,9619,-1003,Uber,ride to work,2023-11-17,Transportation
Aug,Marketing,16798,15890,-908,Netflix,entertainment,2029-01-14,Entertainment
May,IT,17945,18208,263,Starbucks,coffee,2028-10-01,Food & Dining
Aug,Finance,12221,10304,-1917,Uber,travel,2028-11-30,Transportation
Dec,IT,18586,21510,2924,Flipkart,online shopping,2027-02-11,Shopping
Aug,Operations,17639,20281,2642,Starbucks,drinks,2027-09-15,Food & Dining
Dec,Operations,5052,5289,237,Amazon,movie subscription,2023-03-14,Entertainment
Sep,IT,13248,14143,895,Amazon,online shopping,2024-10-31,Shopping
Nov,Operations,5319,6122,803,Uber,travel,2024-06-21,Transportation
Apr,Operations,6588,5435,-1153,Amazon,movie subscription,2028-10-28,Entertainment
Sep,HR,12413,11027,-1386,Amazon,online_shopping,2025-10-19,Shopping
Apr,IT,12919,13122,203,Shell,diesel,2026-11-06,Fuel
Feb,Finance,6852,4857,-1995,Netflix,monthly subscription,2025-03-18,Subscription
Nov,Finance,8499,8714,215,Starbucks,food,2027-08-15,Food & Dining
Nov,Sales,18310,18422,112,Starbucks,coffee,2025-10-25,Food & Dining
May,Sales,7299,8773,1474,Flipkart,online shopping,2028-07-15,Shopping
Nov,Finance,5219,7440,2221,McDonald's,coffee purchase,2025-11-28,Food & Dining
Oct,Sales,8134,9039,905,Apple Store,online shopping,2024-10-13,Shopping
Aug,Operations,10535,11886,1351,Starbucks,food,2023-05-17,Food & Dining
Dec,IT,19194,17603,-1591,Shell,diesel,2026-04-28,Fuel
Apr,HR,18295,19162,867,Uber,ride,2024-07-01,Transportation
Feb,IT,15129,13512,-1617,Apple Store,online shopping,2027-05-10,Shopping
Oct,Finance,6753,8112,1359,McDonald's,drinks,2023-04-25,Food & Dining
Oct,Marketing,14077,11835,-2242,Apple Store,online shopping,2026-01-24,Shopping
Dec,Finance,14271,16198,1927,Shell,diesel,2024-07-07,Fuel
Oct,Marketing,17826,19382,1556,McDonald's,meal,2028-12-29,Food & Dining
Sep,Marketing,18603,21591,2988,Netflix,entertainment,2026-09-02,Entertainment
Jan,HR,11974,12581,607,Uber,ride,2028-05-02,Transportation
Dec,Finance,17965,15641,-2324,Uber,ride,2023-10-03,Transportation
Jul,Operations,14243,13012,-1231,Flipkart,movie subscription,2029-08-17,Entertainment
Jun,Finance,17188,17295,107,Starbucks,drinks,2027-03-07,Food & Dining
Nov,Sales,12726,12429,-297,Starbucks,drinks,2023-11-20,Food & Dining
Aug,IT,5023,5973,950,Apple Store,online shopping,2026-09-11,Shopping
May,IT,9692,7522,-2170,Apple Store,online shopping,2029-07-03,Shopping
Sep,Finance,13954,14315,361,Flipkart,movie subscription,2023-02-22,Entertainment
Aug,Marketing,6349,6896,547,Uber,ride,2025-08-05,Transportation
Dec,Operations,8014,8703,689,Apple Store,app purchase,2028-05-05,Digital Services
Aug,Finance,12369,12729,360,Starbucks,coffee,2025-04-13,Food & Dining
Oct,Operations,12558,10952,-1606,Netflix,movie subscription,2025-05-31,Entertainment
Jun,Sales,18476,20789,2313,Netflix,monthly subscription,2028-03-30,Subscription
Oct,Sales,7416,5626,-1790,Apple Store,online shopping,2023-06-08,Shopping
Mar,Operations,8749,7445,-1304,Netflix,monthly subscription,2023-05-04,Subscription
Mar,Finance,16203,15841,-362,Starbucks,coffee,2024-06-10,Food & Dining
Jan,Sales,14131,11345,-2786,McDonald's,food,2026-08-31,Food & Dining
Dec,Finance,6521,6397,-124,Starbucks,coffee,2029-09-29,Food & Dining
Jun,Sales,5681,6138,457,Shell,diesel,2028-09-26,Fuel
Nov,Operations,19157,18529,-628,Amazon,online_shopping,2025-09-15,Shopping
Jul,Sales,10650,12199,1549,Netflix,entertainment,2027-11-30,Entertainment
Jan,HR,18865,17583,-1282,McDonald's,food,2024-12-26,Food & Dining
Jan,Sales,10642,8302,-2340,Shell,petrol,2024-02-08,Fuel
Jun,Marketing,14334,13721,-613,Starbucks,drinks,2025-07-23,Food & Dining
Jul,Sales,11007,12431,1424,Flipkart,online shopping,2025-10-30,Shopping
Dec,Finance,10342,12541,2199,McDonald's,food,2026-10-14,Food & Dining
May,HR,17128,16057,-1071,Amazon,online shopping,2024-09-13,Shopping
May,Finance,19241,21860,2619,Starbucks,drinks,2023-02-04,Food & Dining
Apr,IT,9823,10509,686,Starbucks,coffee,2028-10-14,Food & Dining
Jun,Sales,15426,14881,-545,Uber,travel,2028-03-02,Transportation
Dec,Operations,12138,11770,-368,Apple Store,app purchase,2026-08-09,Digital Services
Apr,Operations,14789,12174,-2615,Apple Store,online shopping,2026-06-07,Shopping
Jun,IT,5617,3411,-2206,Apple Store,online shopping,2028-06-01,Shopping
Jan,Finance,15937,13567,-2370,Flipkart,online shopping,2023-04-16,Shopping
Sep,Operations,14554,13377,-1177,Apple Store,app purchase,2024-12-08,Digital Services
Oct,Operations,11082,12715,1633,Apple Store,online shopping,2023-03-02,Shopping
Dec,Marketing,13033,10077,-2956,Flipkart,online shopping,2027-04-28,Shopping
Mar,Operations,8750,9701,951,McDonald's,drinks,2027-09-17,Food & Dining
Aug,Sales,7574,8273,699,Shell,petrol,2023-03-26,Fuel
Jun,Marketing,11934,13020,1086,Amazon,movie subscription,2028-02-18,Entertainment
Apr,Sales,19787,20869,1082,Shell,fuel purchase,2028-07-25,Fuel
Jul,IT,8440,11102,2662,Uber,ride to work,2025-08-02,Transportation
Oct,HR,6728,7504,776,McDonald's,coffee purchase,2025-09-28,Food & Dining
Nov,IT,5474,6612,1138,Netflix,movie subscription,2028-08-07,Entertainment
Jan,IT,12993,13089,96,McDonald's,food,2028-12-31,Food & Dining
Aug,Operations,11396,12577,1181,Starbucks,food,2028-11-24,Food & Dining
Jun,Finance,14710,13444,-1266,Netflix,movie subscription,2023-07-11,Entertainment
Jan,IT,17546,18001,455,Shell,diesel,2026-06-15,Fuel
May,Sales,12913,11441,-1472,Flipkart,online shopping,2027-10-25,Shopping
Jun,HR,19671,20617,946,Apple Store,app purchase,2028-01-06,Digital Services
Feb,Sales,6136,6140,4,Shell,fuel purchase,2023-02-20,Fuel
Jun,Marketing,8113,5955,-2158,Shell,fuel purchase,2028-01-31,Fuel
Mar,Operations,14356,15804,1448,Starbucks,food,2026-09-16,Food & Dining
Nov,Marketing,19154,16394,-2760,Amazon,movie subscription,2029-04-16,Entertainment
Nov,Operations,12159,12598,439,Uber,ride,2023-08-27,Transportation
Jun,Marketing,14421,14821,400,Flipkart,movie subscription,2027-01-10,Entertainment
Aug,Finance,19283,18285,-998,Uber,ride,2025-09-04,Transportation
Mar,HR,17431,15369,-2062,Netflix,movie,2028-09-09,Entertainment
Aug,Sales,10292,13067,2775,Amazon,movie subscription,2028-11-18,Entertainment
Jan,Sales,15421,16423,1002,Starbucks,drinks,2028-05-15,Food & Dining
Sep,Sales,19358,21817,2459,Netflix,monthly subscription,2025-11-28,Subscription
Oct,HR,6260,3494,-2766,Flipkart,online_shopping,2028-02-02,Shopping
May,HR,17647,19122,1475,Uber,travel,2025-01-25,Transportation
Nov,Operations,14301,14323,22,Starbucks,drinks,2026-02-21,Food & Dining
May,Sales,7545,10186,2641,Apple Store,online shopping,2023-09-07,Shopping
Apr,Sales,15866,16389,523,Starbucks,coffee,2029-08-20,Food & Dining
Sep,IT,10115,11559,1444,Amazon,online shopping,2026-12-11,Shopping
Nov,Finance,14535,17450,2915,Shell,petrol,2025-07-30,Fuel
Nov,Marketing,6735,3858,-2877,McDonald's,meal,2025-12-09,Food & Dining
Mar,Operations,18744,21287,2543,Starbucks,food,2024-07-09,Food & Dining
Jan,HR,19207,17215,-1992,Uber,travel,2025-10-12,Transportation
Dec,Finance,5918,6808,890,Uber,travel,2024-11-27,Transportation
Jan,Finance,13914,12460,-1454,Amazon,online_shopping,2024-12-12,Shopping
Sep,Operations,7555,7119,-436,Uber,travel,2027-10-24,Transportation
Nov,Operations,9176,12021,2845,McDonald's,meal,2026-06-20,Food & Dining
Jun,Operations,11196,12242,1046,Flipkart,online_shopping,2025-08-14,Shopping
Jul,IT,9081,11808,2727,Netflix,movie,2029-10-18,Entertainment
Jul,IT,7497,5627,-1870,Flipkart,online shopping,2027-12-24,Shopping
Dec,Finance,11260,14173,2913,Apple Store,online shopping,2029-07-06,Shopping
Aug,Marketing,12377,12235,-142,Starbucks,food,2028-03-21,Food & Dining
Apr,HR,14502,14518,16,Starbucks,drinks,2027-11-22,Food & Dining
Sep,Operations,17942,14949,-2993,Flipkart,online shopping,2026-02-04,Shopping
Oct,Marketing,9610,11195,1585,Uber,travel,2026-12-15,Transportation
Jan,Operations,11886,10689,-1197,Starbucks,drinks,2023-03-04,Food & Dining
Jul,Sales,14623,15172,549,Uber,travel,2028-04-12,Transportation
Mar,IT,12889,11730,-1159,McDonald's,coffee purchase,2026-01-22,Food & Dining
Dec,HR,11168,9417,-1751,Amazon,online shopping,2026-04-07,Shopping
Mar,Sales,5949,5862,-87,McDonald's,meal,2023-09-30,Food & Dining
Aug,Operations,10242,11321,1079,Apple Store,app purchase,2025-02-15,Digital Services
Jul,Marketing,14422,14818,396,Apple Store,app purchase,2023-12-26,Digital Services
Aug,Operations,6718,6939,221,Shell,diesel,2027-04-24,Fuel
Apr,Finance,19930,20549,619,Apple Store,app purchase,2023-07-29,Digital Services
Jun,HR,7486,4487,-2999,Netflix,entertainment,2026-11-03,Entertainment
May,Sales,10901,10429,-472,McDonald's,meal,2024-06-03,Food & Dining
Oct,HR,16966,16660,-306,Shell,diesel,2029-06-13,Fuel
Jul,IT,6314,8980,2666,Flipkart,online_shopping,2027-01-23,Shopping
Jan,Sales,12135,10513,-1622,Uber,ride to work,2023-07-29,Transportation
Sep,IT,18252,17750,-502,Uber,ride to work,2025-10-04,Transportation
Jun,HR,19855,18962,-893,McDonald's,drinks,2028-09-26,Food & Dining
Feb,Sales,6718,8621,1903,Netflix,entertainment,2026-08-01,Entertainment
Dec,Finance,18477,16873,-1604,McDonald's,meal,2028-09-30,Food & Dining
Aug,HR,8660,8249,-411,Amazon,online_shopping,2028-03-16,Shopping
Nov,IT,11884,12095,211,Shell,diesel,2023-05-28,Fuel
Jan,HR,7727,10525,2798,Amazon,online shopping,2026-05-18,Shopping
Apr,HR,16135,15347,-788,Uber,travel,2025-10-26,Transportation
Sep,Operations,12030,10800,-1230,Starbucks,food,2028-01-26,Food & Dining
May,IT,10704,8031,-2673,Apple Store,app purchase,2028-09-16,Digital Services
Sep,Finance,11094,9717,-1377,McDonald's,coffee purchase,2023-04-02,Food & Dining
Apr,Operations,7269,6421,-848,Apple Store,online shopping,2027-09-19,Shopping
Aug,Sales,11826,9414,-2412,Uber,ride,2027-02-05,Transportation
Nov,Finance,15296,17855,2559,McDonald's,food,2028-12-18,Food & Dining
Oct,Marketing,8429,5901,-2528,Uber,ride,2024-11-01,Transportation
Aug,Marketing,16302,14511,-1791,Amazon,movie subscription,2024-06-07,Entertainment
Jul,Marketing,6174,5206,-968,Starbucks,drinks,2026-11-07,Food & Dining
Aug,Marketing,13657,14137,480,Apple Store,app purchase,2026-05-06,Digital Services
Apr,Operations,18715,16915,-1800,Netflix,monthly subscription,2026-06-03,Subscription
Nov,Marketing,11924,10116,-1808,Amazon,online shopping,2029-07-26,Shopping
Jun,Marketing,12113,11065,-1048,Shell,petrol,2024-08-12,Fuel
Oct,Finance,14579,15754,1175,Shell,fuel purchase,2026-02-27,Fuel
Mar,IT,7247,4664,-2583,Shell,petrol,2026-04-22,Fuel
Apr,HR,14218,11554,-2664,Shell,petrol,2026-10-19,Fuel
Mar,HR,18464,21161,2697,Shell,fuel purchase,2028-01-24,Fuel
May,Sales,7865,10269,2404,Flipkart,online_shopping,2028-01-07,Shopping
Oct,HR,15059,14066,-993,Starbucks,drinks,2029-04-22,Food & Dining
Jan,Sales,15495,15290,-205,Flipkart,online shopping,2025-11-30,Shopping
Jul,HR,12176,14020,1844,Amazon,movie subscription,2023-07-13,Entertainment
Feb,Operations,10758,13284,2526,Amazon,movie subscription,2023-11-15,Entertainment
Apr,Operations,15799,12961,-2838,Netflix,monthly subscription,2023-02-04,Subscription
Jul,HR,15749,17553,1804,Apple Store,app purchase,2026-07-23,Digital Services
Oct,Marketing,5742,5207,-535,McDonald's,drinks,2023-10-31,Food & Dining
May,HR,11308,12858,1550,McDonald's,food,2024-05-08,Food & Dining
May,Marketing,11551,9178,-2373,Apple Store,app purchase,2028-12-14,Digital Services
Mar,Sales,18673,20423,1750,Flipkart,online_shopping,2023-10-12,Shopping
Jul,Sales,7250,4473,-2777,Amazon,movie subscription,2029-01-22,Entertainment
Apr,Finance,16255,14930,-1325,McDonald's,drinks,2026-05-22,Food & Dining
May,IT,18315,17373,-942,McDonald's,food,2027-04-15,Food & Dining
Oct,IT,5117,3820,-1297,Apple Store,app purchase,2026-08-04,Digital Services
May,Marketing,19161,22011,2850,Starbucks,drinks,2023-12-16,Food & Dining
Apr,IT,11095,13483,2388,Shell,diesel,2028-12-25,Fuel
Jul,HR,14182,12092,-2090,Netflix,entertainment,2025-11-11,Entertainment
Aug,Marketing,9936,8179,-1757,Netflix,movie,2023-01-24,Entertainment
Dec,Operations,13413,12222,-1191,Apple Store,online shopping,2023-10-21,Shopping
Jan,HR,12649,15211,2562,Shell,diesel,2029-10-25,Fuel
Jul,HR,13799,14416,617,Flipkart,online shopping,2027-12-05,Shopping
Sep,Sales,14497,14949,452,Amazon,movie subscription,2029-01-09,Entertainment
Jul,Sales,11734,13331,1597,Amazon,movie subscription,2024-11-08,Entertainment
Jun,Operations,11611,13959,2348,Apple Store,app purchase,2025-03-16,Digital Services
Aug,Marketing,10152,9188,-964,Flipkart,online shopping,2029-02-01,Shopping
Jan,Marketing,19145,20695,1550,Apple Store,online shopping,2026-11-10,Shopping
Dec,HR,18554,15584,-2970,Starbucks,drinks,2024-02-19,Food & Dining
Aug,Finance,5121,7186,2065,Netflix,monthly subscription,2024-12-26,Subscription
Jan,Finance,12599,14863,2264,Flipkart,online shopping,2027-09-09,Shopping
Jan,Sales,16267,16668,401,Netflix,movie subscription,2028-06-30,Entertainment
Jan,Sales,6069,4770,-1299,Flipkart,movie subscription,2029-07-07,Entertainment
May,Operations,9902,12647,2745,Netflix,monthly subscription,2025-07-17,Subscription
Feb,Operations,18121,17978,-143,Shell,fuel purchase,2027-02-20,Fuel
Oct,Operations,10751,12760,2009,Uber,ride,2026-03-26,Transportation
May,Sales,11593,14280,2687,Uber,ride to work,2024-06-10,Transportation
Sep,IT,14904,15366,462,Flipkart,online shopping,2025-04-05,Shopping
Dec,Operations,7572,9011,1439,Netflix,movie subscription,2028-02-10,Entertainment
Jul,Marketing,15528,14797,-731,Flipkart,movie subscription,2029-10-26,Entertainment
Oct,IT,10657,11894,1237,Starbucks,coffee,2029-05-08,Food & Dining
May,IT,9962,10334,372,Amazon,online shopping,2024-02-15,Shopping
Aug,HR,16112,16578,466,Apple Store,online shopping,2027-11-23,Shopping
Apr,Finance,12470,11191,-1279,Uber,travel,2026-03-30,Transportation
May,Operations,17622,18188,566,Shell,diesel,2025-03-05,Fuel
Apr,HR,9858,10269,411,Starbucks,food,2024-03-24,Food & Dining
Oct,IT,8007,5918,-2089,Amazon,movie subscription,2026-03-22,Entertainment
Jan,Operations,18767,20277,1510,Shell,diesel,2029-10-19,Fuel
Feb,Finance,17536,18540,1004,Flipkart,online_shopping,2023-01-15,Shopping
Feb,IT,5615,3458,-2157,Starbucks,coffee,2027-10-20,Food & Dining
Feb,IT,7036,5419,-1617,Netflix,monthly subscription,2024-05-13,Subscription
Mar,HR,12214,10800,-1414,Shell,diesel,2023-08-23,Fuel
Jan,Operations,8840,8415,-425,Amazon,online_shopping,2026-02-20,Shopping
Jun,HR,7625,4973,-2652,McDonald's,food,2023-08-25,Food & Dining
Jan,HR,15945,13755,-2190,Flipkart,online shopping,2027-04-12,Shopping
Jun,IT,14049,13921,-128,McDonald's,meal,2027-01-26,Food & Dining
Feb,HR,9171,7587,-1584,Starbucks,drinks,2023-06-16,Food & Dining
Jul,Operations,19342,17059,-2283,Amazon,movie subscription,2027-05-10,Entertainment
Dec,HR,6097,6951,854,Apple Store,app purchase,2029-01-17,Digital Services
Jun,IT,10530,12228,1698,Starbucks,food,2025-05-12,Food & Dining
Nov,HR,8126,8342,216,McDonald's,coffee purchase,2023-02-05,Food & Dining
Mar,Marketing,11451,11352,-99,Uber,travel,2024-04-26,Transportation
Jan,Finance,8628,6123,-2505,Apple Store,online shopping,2024-12-11,Shopping
May,Sales,7137,8458,1321,Shell,diesel,2029-03-28,Fuel
Apr,IT,15226,17803,2577,Shell,diesel,2025-12-01,Fuel
Jul,Sales,6549,8202,1653,Uber,ride,2027-12-29,Transportation
Jan,Sales,17068,18210,1142,Flipkart,online shopping,2025-07-07,Shopping
Jun,IT,16707,14213,-2494,Shell,fuel purchase,2028-04-01,Fuel
May,IT,5218,6079,861,Shell,fuel purchase,2029-05-24,Fuel
Feb,Operations,9600,11695,2095,McDonald's,food,2026-11-03,Food & Dining
Nov,Sales,16000,15514,-486,Apple Store,online shopping,2027-05-23,Shopping
Jun,Marketing,5611,8061,2450,Netflix,entertainment,2024-05-21,Entertainment
Apr,IT,15962,16407,445,Shell,petrol,2027-01-21,Fuel
Oct,Operations,5425,7448,2023,Shell,diesel,2023-09-15,Fuel
Apr,Marketing,9321,6638,-2683,Flipkart,online_shopping,2024-06-25,Shopping
Oct,Operations,5545,5252,-293,Flipkart,online shopping,2024-03-21,Shopping
Oct,Sales,18246,17995,-251,McDonald's,coffee purchase,2026-11-10,Food & Dining
Feb,Finance,7864,6628,-1236,Shell,fuel purchase,2023-11-13,Fuel
Jan,HR,17301,19830,2529,Shell,fuel purchase,2026-07-29,Fuel
Sep,HR,14726,15694,968,Shell,petrol,2027-06-01,Fuel
Jun,Marketing,10146,8228,-1918,Starbucks,drinks,2025-08-15,Food & Dining
Oct,IT,14624,13159,-1465,Flipkart,movie subscription,2026-12-10,Entertainment
May,Marketing,7582,6326,-1256,Uber,ride to work,2028-11-03,Transportation
Aug,Marketing,17330,18509,1179,Uber,ride,2027-02-20,Transportation
Feb,Marketing,6392,6263,-129,Netflix,entertainment,2029-08-13,Entertainment
Feb,Sales,13169,12229,-940,Flipkart,online_shopping,2028-01-18,Shopping
Sep,Sales,7354,5956,-1398,Apple Store,online shopping,2027-03-20,Shopping
Jun,Marketing,13582,11276,-2306,McDonald's,coffee purchase,2029-03-23,Food & Dining
Apr,IT,12319,13884,1565,Flipkart,movie subscription,2024-06-07,Entertainment
Mar,Marketing,14261,15780,1519,Netflix,movie subscription,2023-01-07,Entertainment
Jun,Marketing,19022,17920,-1102,Apple Store,online shopping,2024-08-02,Shopping
Jan,HR,12916,14387,1471,Flipkart,online shopping,2024-06-25,Shopping
Aug,Finance,16745,19426,2681,Shell,diesel,2029-05-12,Fuel
Oct,Sales,15168,15833,665,Flipkart,online_shopping,2027-03-18,Shopping
Apr,Marketing,16930,14641,-2289,Uber,ride to work,2023-12-25,Transportation
Feb,Finance,14268,15315,1047,McDonald's,food,2026-04-03,Food & Dining
Jul,Marketing,9015,11191,2176,Netflix,movie subscription,2023-01-01,Entertainment
Oct,IT,18764,20724,1960,McDonald's,food,2023-07-14,Food & Dining
Nov,HR,18416,17887,-529,McDonald's,meal,2029-08-21,Food & Dining
Jan,Operations,17144,17295,151,Starbucks,drinks,2023-12-09,Food & Dining
Jan,HR,5527,3630,-1897,Starbucks,drinks,2028-07-11,Food & Dining
Oct,Finance,11853,12108,255,Flipkart,online shopping,2025-11-29,Shopping
Oct,HR,13670,12933,-737,Uber,travel,2026-03-25,Transportation
Sep,HR,9497,9738,241,Starbucks,coffee,2025-01-26,Food & Dining
Jun,HR,18278,17562,-716,Uber,ride,2028-03-15,Transportation
Apr,IT,11298,12604,1306,Shell,diesel,2024-08-24,Fuel
Nov,HR,6710,8264,1554,Apple Store,online shopping,2025-09-10,Shopping
Jun,Operations,10135,9987,-148,Starbucks,coffee,2028-04-18,Food & Dining
Sep,Marketing,9957,9156,-801,Flipkart,online_shopping,2027-11-01,Shopping
Jul,Sales,6464,7939,1475,Flipkart,online shopping,2025-06-06,Shopping
Nov,Marketing,11369,13229,1860,Flipkart,online_shopping,2028-09-27,Shopping
Jan,Finance,17324,19854,2530,Uber,ride,2025-03-03,Transportation
Jul,Operations,17734,14914,-2820,McDonald's,coffee purchase,2023-07-15,Food & Dining
May,HR,13070,15091,2021,Apple Store,app purchase,2027-02-22,Digital Services
Feb,Sales,7060,5540,-1520,Amazon,movie subscription,2024-06-18,Entertainment
Jul,Marketing,10435,12129,1694,Amazon,online shopping,2024-02-20,Shopping
Jan,Finance,15173,14899,-274,Starbucks,drinks,2027-05-04,Food & Dining
Jan,Finance,11536,11595,59,Starbucks,food,2024-11-25,Food & Dining
