Department,Budgeted Amount,Actual Spending,Variance,Merchant,Description,Date,Category
Sales,12877,12963,86,Apple Store,online shopping,08 June 2026,Shopping
Finance,7760,10043,2283,Netflix,monthly subscription,09 June 2026,Subscription
Finance,7818,7769,-49,Shell,petrol,10 June 2026,Fuel
IT,15734,16815,1081,Shell,petrol,11 June 2026,Fuel
IT,16128,18904,2776,Flipkart,movie subscription,12 June 2026,Entertainment
IT,17776,20668,2892,Shell,diesel,13 June 2026,Fuel
Finance,11239,11314,75,McDonald's,coffee purchase,14 June 2026,Food & Dining
Finance,9962,11223,1261,Uber,travel,15 June 2026,Transportation
Operations,15843,15410,-433,Starbucks,coffee,16 June 2026,Food & Dining
Operations,17556,15325,-2231,Uber,ride to work,17 June 2026,Transportation
Sales,8212,9134,922,Shell,petrol,18 June 2026,Fuel
Sales,13912,15285,1373,Netflix,movie subscription,19 June 2026,Entertainment
Finance,13686,13319,-367,Starbucks,coffee,20 June 2026,Food & Dining
Marketing,8605,7357,-1248,Shell,petrol,21 June 2026,Fuel
Sales,8825,7059,-1766,Shell,petrol,22 June 2026,Fuel
Marketing,18359,19929,1570,Apple Store,online shopping,23 June 2026,Shopping
Finance,19772,19854,82,McDonald's,food,24 June 2026,Food & Dining
Operations,9710,7477,-2233,Flipkart,online_shopping,25 June 2026,Shopping
Finance,18415,21073,2658,Starbucks,coffee,26 June 2026,Food & Dining
Marketing,19435,18945,-490,Netflix,monthly subscription,27 June 2026,Subscription
HR,16347,19140,2793,Shell,diesel,28 June 2026,Fuel
Finance,14985,13108,-1877,Flipkart,online shopping,29 June 2026,Shopping
HR,10022,8444,-1578,Netflix,movie,30 June 2026,Entertainment
Finance,8910,10710,1800,Netflix,movie,01 July 2026,Entertainment
Sales,17054,15683,-1371,Shell,petrol,02 July 2026,Fuel
Operations,6634,9598,2964,Apple Store,app purchase,03 July 2026,Digital Services
Marketing,10305,13129,2824,Flipkart,online_shopping,04 July 2026,Shopping
HR,15735,17217,1482,Shell,diesel,05 July 2026,Fuel
Marketing,15110,17451,2341,Shell,diesel,06 July 2026,Fuel
Marketing,6457,7485,1028,Amazon,movie subscription,07 July 2026,Entertainment
Sales,18337,17291,-1046,Apple Store,online shopping,08 July 2026,Shopping
Finance,17903,17274,-629,Starbucks,food,09 July 2026,Food & Dining
Sales,17996,16245,-1751,Uber,ride to work,10 July 2026,Transportation
Sales,5615,5598,-17,Amazon,online_shopping,11 July 2026,Shopping
IT,8202,7720,-482,Shell,petrol,12 July 2026,Fuel
Marketing,7305,4307,-2998,Shell,fuel purchase,13 July 2026,Fuel
HR,9269,7255,-2014,Amazon,online shopping,14 July 2026,Shopping
Finance,12014,13219,1205,Netflix,movie,15 July 2026,Entertainment
HR,6107,5320,-787,Starbucks,coffee,16 July 2026,Food & Dining
IT,6388,5345,-1043,Uber,ride,17 July 2026,Transportation
Operations,13110,12365,-745,Flipkart,online_shopping,18 July 2026,Shopping
HR,14545,14310,-235,McDonald's,coffee purchase,19 July 2026,Food & Dining
HR,6582,8820,2238,Amazon,movie subscription,20 July 2026,Entertainment
Operations,11913,11841,-72,Apple Store,app purchase,21 July 2026,Digital Services
Operations,15575,16831,1256,Shell,fuel purchase,22 July 2026,Fuel
HR,8562,10130,1568,Apple Store,online shopping,23 July 2026,Shopping
Operations,5513,3740,-1773,Uber,ride,24 July 2026,Transportation
Marketing,19518,20319,801,Uber,ride,25 July 2026,Transportation
IT,16380,14928,-1452,Starbucks,food,26 July 2026,Food & Dining
IT,9622,7464,-2158,Flipkart,movie subscription,27 July 2026,Entertainment
HR,16255,13773,-2482,Flipkart,online shopping,28 July 2026,Shopping
HR,15262,13751,-1511,Flipkart,online_shopping,29 July 2026,Shopping
Marketing,16864,18062,1198,Flipkart,movie subscription,30 July 2026,Entertainment
HR,10350,12085,1735,Apple Store,app purchase,31 July 2026,Digital Services
HR,10244,12803,2559,Amazon,online_shopping,01 August 2026,Shopping
Sales,16320,13852,-2468,Apple Store,online shopping,02 August 2026,Shopping
HR,7093,9189,2096,Uber,travel,03 August 2026,Transportation
IT,8332,9365,1033,Apple Store,online shopping,04 August 2026,Shopping
Marketing,15947,17004,1057,Starbucks,food,05 August 2026,Food & Dining
Finance,19122,16850,-2272,McDonald's,meal,06 August 2026,Food & Dining
IT,8503,6798,-1705,Uber,travel,07 August 2026,Transportation
Marketing,10250,11449,1199,Shell,petrol,08 August 2026,Fuel
Sales,5307,5193,-114,Starbucks,coffee,09 August 2026,Food & Dining
HR,16894,15190,-1704,McDonald's,meal,10 August 2026,Food & Dining
IT,13540,10895,-2645,Shell,petrol,11 August 2026,Fuel
HR,12415,10132,-2283,Amazon,online_shopping,12 August 2026,Shopping
Operations,8367,10335,1968,Starbucks,coffee,13 August 2026,Food & Dining
IT,12836,13102,266,Shell,petrol,14 August 2026,Fuel
Operations,6310,7969,1659,Amazon,online_shopping,15 August 2026,Shopping
IT,8270,8683,413,Starbucks,drinks,16 August 2026,Food & Dining
Sales,11034,10016,-1018,Netflix,monthly subscription,17 August 2026,Subscription
IT,18059,15653,-2406,Apple Store,online shopping,18 August 2026,Shopping
Marketing,19846,16866,-2980,Uber,ride,19 August 2026,Transportation
Finance,11927,12907,980,Starbucks,coffee,20 August 2026,Food & Dining
Finance,14616,16725,2109,Apple Store,app purchase,21 August 2026,Digital Services
HR,18167,17482,-685,Flipkart,online_shopping,22 August 2026,Shopping
Sales,10871,11409,538,Uber,travel,23 August 2026,Transportation
IT,18051,17583,-468,Shell,diesel,24 August 2026,Fuel
Sales,11732,11194,-538,Shell,diesel,25 August 2026,Fuel
Sales,17384,17533,149,Apple Store,app purchase,26 August 2026,Digital Services
Finance,15052,17548,2496,Uber,ride,27 August 2026,Transportation
IT,17388,18160,772,McDonald's,coffee purchase,28 August 2026,Food & Dining
Finance,5309,4983,-326,Apple Store,online shopping,29 August 2026,Shopping
Sales,19111,18059,-1052,Uber,ride to work,30 August 2026,Transportation
Finance,7898,8566,668,Starbucks,coffee,31 August 2026,Food & Dining
Operations,17237,16706,-531,Apple Store,online shopping,01 September 2026,Shopping
HR,11112,9514,-1598,Uber,travel,02 September 2026,Transportation
Operations,17322,16459,-863,McDonald's,drinks,03 September 2026,Food & Dining
Finance,15234,12849,-2385,Shell,diesel,04 September 2026,Fuel
HR,11947,10057,-1890,McDonald's,drinks,05 September 2026,Food & Dining
Sales,19189,20393,1204,Shell,fuel purchase,06 September 2026,Fuel
IT,12495,13468,973,Flipkart,online_shopping,07 September 2026,Shopping
IT,14846,17722,2876,McDonald's,meal,08 September 2026,Food & Dining
HR,19213,17226,-1987,Flipkart,movie subscription,09 September 2026,Entertainment
Finance,19018,16382,-2636,McDonald's,meal,10 September 2026,Food & Dining
Operations,16674,17022,348,Uber,ride,11 September 2026,Transportation
IT,6872,7297,425,Amazon,movie subscription,12 September 2026,Entertainment
Sales,5248,4791,-457,Amazon,movie subscription,13 September 2026,Entertainment
Sales,13877,12250,-1627,McDonald's,meal,14 September 2026,Food & Dining
Finance,19772,21917,2145,Shell,diesel,15 September 2026,Fuel
Marketing,8236,5300,-2936,Flipkart,movie subscription,16 September 2026,Entertainment
Finance,17398,18036,638,Flipkart,movie subscription,17 September 2026,Entertainment
HR,14076,14407,331,Flipkart,movie subscription,18 September 2026,Entertainment
Marketing,15959,14516,-1443,McDonald's,food,19 September 2026,Food & Dining
Marketing,16364,17604,1240,Amazon,online shopping,20 September 2026,Shopping
Operations,19516,20489,973,Netflix,monthly subscription,21 September 2026,Subscription
Operations,8838,6772,-2066,Netflix,movie,22 September 2026,Entertainment
Sales,8695,6531,-2164,Netflix,movie,23 September 2026,Entertainment
Operations,15509,16508,999,Flipkart,online_shopping,24 September 2026,Shopping
HR,9661,6916,-2745,Flipkart,online_shopping,25 September 2026,Shopping
Operations,17743,17752,9,Apple Store,online shopping,26 September 2026,Shopping
IT,5157,7377,2220,Netflix,entertainment,27 September 2026,Entertainment
Marketing,18816,21447,2631,Amazon,online_shopping,28 September 2026,Shopping
Sales,19151,21073,1922,Flipkart,online_shopping,29 September 2026,Shopping
Finance,12655,15150,2495,Starbucks,coffee,30 September 2026,Food & Dining
IT,19017,20769,1752,Apple Store,online shopping,01 October 2026,Shopping
Sales,9435,12096,2661,Netflix,monthly subscription,02 October 2026,Subscription
Marketing,14259,14477,218,Flipkart,movie subscription,03 October 2026,Entertainment
IT,13640,11351,-2289,Uber,ride to work,04 October 2026,Transportation
HR,12357,13539,1182,Flipkart,online shopping,05 October 2026,Shopping
Operations,19000,21395,2395,Starbucks,drinks,06 October 2026,Food & Dining
IT,5159,6298,1139,Uber,travel,07 October 2026,Transportation
Operations,17002,19056,2054,Shell,fuel purchase,08 October 2026,Fuel
Finance,13486,13783,297,McDonald's,meal,09 October 2026,Food & Dining
Sales,14221,16216,1995,Starbucks,drinks,10 October 2026,Food & Dining
HR,10935,8822,-2113,Uber,travel,11 October 2026,Transportation
Marketing,5373,7314,1941,Netflix,movie,12 October 2026,Entertainment
IT,18436,21120,2684,Uber,travel,13 October 2026,Transportation
Sales,14404,13007,-1397,Netflix,entertainment,14 October 2026,Entertainment
Finance,12093,12773,680,Netflix,monthly subscription,15 October 2026,Subscription
Marketing,5406,5980,574,McDonald's,drinks,16 October 2026,Food & Dining
HR,18937,17477,-1460,Amazon,movie subscription,17 October 2026,Entertainment
Sales,16841,14042,-2799,McDonald's,meal,18 October 2026,Food & Dining
Operations,9322,10992,1670,Starbucks,drinks,19 October 2026,Food & Dining
IT,14009,14434,425,Uber,ride to work,20 October 2026,Transportation
HR,9975,10521,546,Shell,petrol,21 October 2026,Fuel
Sales,8133,6846,-1287,McDonald's,coffee purchase,22 October 2026,Food & Dining
IT,13033,14428,1395,Shell,petrol,23 October 2026,Fuel
Finance,5226,4542,-684,Flipkart,online shopping,24 October 2026,Shopping
Finance,19893,21211,1318,Apple Store,app purchase,25 October 2026,Digital Services
Marketing,13383,15743,2360,Netflix,entertainment,26 October 2026,Entertainment
HR,19727,17458,-2269,Flipkart,movie subscription,27 October 2026,Entertainment
Sales,10975,8743,-2232,Uber,travel,28 October 2026,Transportation
Sales,5576,6812,1236,Amazon,online_shopping,29 October 2026,Shopping
Marketing,5388,2468,-2920,Apple Store,app purchase,30 October 2026,Digital Services
IT,17481,14745,-2736,Uber,ride to work,31 October 2026,Transportation
Finance,13090,12161,-929,Shell,fuel purchase,01 November 2026,Fuel
IT,7553,9296,1743,Shell,fuel purchase,02 November 2026,Fuel
Operations,14451,11699,-2752,Flipkart,movie subscription,03 November 2026,Entertainment
Marketing,5368,2394,-2974,Uber,ride,04 November 2026,Transportation
IT,8515,10647,2132,Uber,travel,05 November 2026,Transportation
Sales,12804,12929,125,McDonald's,drinks,06 November 2026,Food & Dining
Marketing,16777,14676,-2101,Uber,travel,07 November 2026,Transportation
Operations,11294,13833,2539,Amazon,online shopping,08 November 2026,Shopping
Marketing,11057,11115,58,Apple Store,app purchase,09 November 2026,Digital Services
HR,19424,22063,2639,Amazon,online shopping,10 November 2026,Shopping
Finance,12391,14017,1626,McDonald's,drinks,11 November 2026,Food & Dining
HR,14752,12704,-2048,Flipkart,online shopping,12 November 2026,Shopping
Sales,18349,18607,258,Shell,fuel purchase,13 November 2026,Fuel
IT,19796,21944,2148,McDonald's,coffee purchase,14 November 2026,Food & Dining
Marketing,16475,15287,-1188,McDonald's,coffee purchase,15 November 2026,Food & Dining
Marketing,19685,18776,-909,Apple Store,app purchase,16 November 2026,Digital Services
Marketing,17381,19025,1644,Netflix,monthly subscription,17 November 2026,Subscription
IT,19076,17919,-1157,Uber,travel,18 November 2026,Transportation
Sales,11286,12711,1425,McDonald's,food,19 November 2026,Food & Dining
HR,6303,5253,-1050,Shell,diesel,20 November 2026,Fuel
IT,11999,11379,-620,Netflix,movie,21 November 2026,Entertainment
Marketing,5097,3752,-1345,Shell,diesel,22 November 2026,Fuel
Marketing,11524,12234,710,Apple Store,online shopping,23 November 2026,Shopping
IT,13703,13826,123,Amazon,online shopping,24 November 2026,Shopping
Sales,17104,17132,28,Flipkart,online shopping,25 November 2026,Shopping
Sales,13057,13978,921,McDonald's,meal,26 November 2026,Food & Dining
Sales,17373,15218,-2155,Flipkart,online shopping,27 November 2026,Shopping
Marketing,12726,11238,-1488,Amazon,online_shopping,28 November 2026,Shopping
Marketing,10538,9616,-922,Uber,ride to work,29 November 2026,Transportation
Sales,5274,6704,1430,Shell,diesel,30 November 2026,Fuel
Finance,7033,7180,147,McDonald's,drinks,01 December 2026,Food & Dining
Marketing,8205,6777,-1428,Apple Store,online shopping,02 December 2026,Shopping
Operations,16441,19179,2738,Shell,fuel purchase,03 December 2026,Fuel
Sales,9429,10475,1046,Apple Store,online shopping,04 December 2026,Shopping
IT,13509,11744,-1765,Uber,ride,05 December 2026,Transportation
IT,17393,14430,-2963,Netflix,movie,06 December 2026,Entertainment
Finance,17633,19327,1694,Shell,fuel purchase,07 December 2026,Fuel
Marketing,9638,10549,911,McDonald's,food,08 December 2026,Food & Dining
Finance,11837,11230,-607,Amazon,online_shopping,09 December 2026,Shopping
HR,15455,12990,-2465,McDonald's,drinks,10 December 2026,Food & Dining
IT,17954,18419,465,Uber,travel,11 December 2026,Transportation
Operations,6039,5715,-324,Starbucks,food,12 December 2026,Food & Dining
Operations,19949,18253,-1696,McDonald's,drinks,13 December 2026,Food & Dining
Sales,5329,5580,251,Flipkart,online shopping,14 December 2026,Shopping
Marketing,6526,7153,627,Apple Store,online shopping,15 December 2026,Shopping
Marketing,13520,14935,1415,McDonald's,food,16 December 2026,Food & Dining
Sales,16670,14863,-1807,Shell,petrol,17 December 2026,Fuel
IT,14793,12601,-2192,Shell,petrol,18 December 2026,Fuel
Finance,16705,13753,-2952,McDonald's,meal,19 December 2026,Food & Dining
Sales,8126,5367,-2759,Netflix,monthly subscription,20 December 2026,Subscription
Sales,7888,8282,394,Starbucks,food,21 December 2026,Food & Dining
Sales,8420,8708,288,Netflix,monthly subscription,22 December 2026,Subscription
HR,5341,2992,-2349,Netflix,movie,23 December 2026,Entertainment
Marketing,7517,9996,2479,Starbucks,food,24 December 2026,Food & Dining
Finance,8665,7501,-1164,Shell,petrol,25 December 2026,Fuel
HR,6904,7851,947,Amazon,online shopping,26 December 2026,Shopping
HR,7343,8780,1437,Flipkart,movie subscription,27 December 2026,Entertainment
IT,10787,11854,1067,Apple Store,online shopping,28 December 2026,Shopping
Marketing,10461,9773,-688,Flipkart,online_shopping,29 December 2026,Shopping
Sales,10395,11284,889,Apple Store,online shopping,30 December 2026,Shopping
HR,14558,12192,-2366,Uber,ride,31 December 2026,Transportation
Finance,5833,5048,-785,McDonald's,drinks,01 January 2027,Food & Dining
HR,8127,7897,-230,Shell,petrol,02 January 2027,Fuel
Marketing,7549,5323,-2226,McDonald's,drinks,03 January 2027,Food & Dining
Operations,13946,11629,-2317,Apple Store,online shopping,04 January 2027,Shopping
Sales,9641,7891,-1750,Apple Store,online shopping,05 January 2027,Shopping
HR,10520,7558,-2962,Netflix,movie,06 January 2027,Entertainment
Finance,6223,5795,-428,Amazon,online shopping,07 January 2027,Shopping
Operations,15983,13512,-2471,Shell,diesel,08 January 2027,Fuel
Sales,13996,13504,-492,Netflix,movie subscription,09 January 2027,Entertainment
IT,15306,14271,-1035,Shell,diesel,10 January 2027,Fuel
Sales,12421,10850,-1571,Shell,fuel purchase,11 January 2027,Fuel
Marketing,17185,14709,-2476,McDonald's,coffee purchase,12 January 2027,Food & Dining
IT,14694,15163,469,Apple Store,app purchase,13 January 2027,Digital Services
Marketing,12341,14597,2256,Apple Store,online shopping,14 January 2027,Shopping
HR,6552,7435,883,McDonald's,coffee purchase,15 January 2027,Food & Dining
IT,18886,17773,-1113,Shell,diesel,16 January 2027,Fuel
Operations,6959,8316,1357,Apple Store,app purchase,17 January 2027,Digital Services
Sales,12915,12595,-320,Shell,diesel,18 January 2027,Fuel
Finance,15417,17446,2029,Starbucks,drinks,19 January 2027,Food & Dining
Marketing,14934,17046,2112,Starbucks,drinks,20 January 2027,Food & Dining
Operations,7572,4935,-2637,Shell,fuel purchase,21 January 2027,Fuel
Marketing,18739,19083,344,Flipkart,online_shopping,22 January 2027,Shopping
IT,13459,12903,-556,Amazon,movie subscription,23 January 2027,Entertainment
HR,17886,19712,1826,McDonald's,food,24 January 2027,Food & Dining
HR,11850,10873,-977,Amazon,online_shopping,25 January 2027,Shopping
Sales,13117,15678,2561,McDonald's,food,26 January 2027,Food & Dining
Finance,6258,8123,1865,McDonald's,drinks,27 January 2027,Food & Dining
Finance,13635,12792,-843,Uber,travel,28 January 2027,Transportation
Sales,12300,14405,2105,Netflix,movie,29 January 2027,Entertainment
IT,5901,4324,-1577,Uber,ride to work,30 January 2027,Transportation
Sales,19359,17809,-1550,Netflix,monthly subscription,31 January 2027,Subscription
IT,17722,14932,-2790,Amazon,movie subscription,01 February 2027,Entertainment
Operations,19213,17453,-1760,Shell,petrol,02 February 2027,Fuel
Operations,16863,15449,-1414,Apple Store,app purchase,03 February 2027,Digital Services
Operations,15288,13011,-2277,Apple Store,app purchase,04 February 2027,Digital Services
Marketing,7242,8137,895,Flipkart,online_shopping,05 February 2027,Shopping
HR,17599,16731,-868,Uber,ride to work,06 February 2027,Transportation
Marketing,10367,13025,2658,Flipkart,online_shopping,07 February 2027,Shopping
Finance,13187,12097,-1090,McDonald's,coffee purchase,08 February 2027,Food & Dining
Operations,5334,4871,-463,McDonald's,coffee purchase,09 February 2027,Food & Dining
Operations,19667,18935,-732,Apple Store,online shopping,10 February 2027,Shopping
Finance,12146,13669,1523,Starbucks,food,11 February 2027,Food & Dining
IT,19643,19494,-149,Amazon,online shopping,12 February 2027,Shopping
Sales,10394,7758,-2636,Amazon,online shopping,13 February 2027,Shopping
IT,11456,13621,2165,Amazon,movie subscription,14 February 2027,Entertainment
Operations,10142,8456,-1686,Uber,ride,15 February 2027,Transportation
Sales,10075,9208,-867,McDonald's,meal,16 February 2027,Food & Dining
Finance,7390,9834,2444,Amazon,online_shopping,17 February 2027,Shopping
Operations,19205,20258,1053,Shell,fuel purchase,18 February 2027,Fuel
Operations,7187,8134,947,Uber,ride to work,19 February 2027,Transportation
Finance,18785,19588,803,Shell,diesel,20 February 2027,Fuel
Operations,13046,10161,-2885,Uber,ride,21 February 2027,Transportation
IT,13938,16139,2201,Apple Store,app purchase,22 February 2027,Digital Services
IT,12596,14385,1789,Apple Store,online shopping,23 February 2027,Shopping
HR,15258,13339,-1919,McDonald's,meal,24 February 2027,Food & Dining
IT,10347,11840,1493,Amazon,movie subscription,25 February 2027,Entertainment
Sales,14861,16185,1324,Apple Store,app purchase,26 February 2027,Digital Services
Sales,18386,20798,2412,Netflix,entertainment,27 February 2027,Entertainment
Marketing,12011,11069,-942,Uber,ride to work,28 February 2027,Transportation
HR,8249,6295,-1954,Flipkart,online shopping,01 March 2027,Shopping
HR,10622,9619,-1003,Uber,ride to work,02 March 2027,Transportation
Marketing,16798,15890,-908,Netflix,entertainment,03 March 2027,Entertainment
IT,17945,18208,263,Starbucks,coffee,04 March 2027,Food & Dining
Finance,12221,10304,-1917,Uber,travel,05 March 2027,Transportation
IT,18586,21510,2924,Flipkart,online shopping,06 March 2027,Shopping
Operations,17639,20281,2642,Starbucks,drinks,07 March 2027,Food & Dining
Operations,5052,5289,237,Amazon,movie subscription,08 March 2027,Entertainment
IT,13248,14143,895,Amazon,online shopping,09 March 2027,Shopping
Operations,5319,6122,803,Uber,travel,10 March 2027,Transportation
Operations,6588,5435,-1153,Amazon,movie subscription,11 March 2027,Entertainment
HR,12413,11027,-1386,Amazon,online_shopping,12 March 2027,Shopping
IT,12919,13122,203,Shell,diesel,13 March 2027,Fuel
Finance,6852,4857,-1995,Netflix,monthly subscription,14 March 2027,Subscription
Finance,8499,8714,215,Starbucks,food,15 March 2027,Food & Dining
Sales,18310,18422,112,Starbucks,coffee,16 March 2027,Food & Dining
Sales,7299,8773,1474,Flipkart,online shopping,17 March 2027,Shopping
Finance,5219,7440,2221,McDonald's,coffee purchase,18 March 2027,Food & Dining
Sales,8134,9039,905,Apple Store,online shopping,19 March 2027,Shopping
Operations,10535,11886,1351,Starbucks,food,20 March 2027,Food & Dining
IT,19194,17603,-1591,Shell,diesel,21 March 2027,Fuel
HR,18295,19162,867,Uber,ride,22 March 2027,Transportation
IT,15129,13512,-1617,Apple Store,online shopping,23 March 2027,Shopping
Finance,6753,8112,1359,McDonald's,drinks,24 March 2027,Food & Dining
Marketing,14077,11835,-2242,Apple Store,online shopping,25 March 2027,Shopping
Finance,14271,16198,1927,Shell,diesel,26 March 2027,Fuel
Marketing,17826,19382,1556,McDonald's,meal,27 March 2027,Food & Dining
Marketing,18603,21591,2988,Netflix,entertainment,28 March 2027,Entertainment
HR,11974,12581,607,Uber,ride,29 March 2027,Transportation
Finance,17965,15641,-2324,Uber,ride,30 March 2027,Transportation
Operations,14243,13012,-1231,Flipkart,movie subscription,31 March 2027,Entertainment
Finance,17188,17295,107,Starbucks,drinks,01 April 2027,Food & Dining
Sales,12726,12429,-297,Starbucks,drinks,02 April 2027,Food & Dining
IT,5023,5973,950,Apple Store,online shopping,03 April 2027,Shopping
IT,9692,7522,-2170,Apple Store,online shopping,04 April 2027,Shopping
Finance,13954,14315,361,Flipkart,movie subscription,05 April 2027,Entertainment
Marketing,6349,6896,547,Uber,ride,06 April 2027,Transportation
Operations,8014,8703,689,Apple Store,app purchase,07 April 2027,Digital Services
Finance,12369,12729,360,Starbucks,coffee,08 April 2027,Food & Dining
Operations,12558,10952,-1606,Netflix,movie subscription,09 April 2027,Entertainment
Sales,18476,20789,2313,Netflix,monthly subscription,10 April 2027,Subscription
Sales,7416,5626,-1790,Apple Store,online shopping,11 April 2027,Shopping
Operations,8749,7445,-1304,Netflix,monthly subscription,12 April 2027,Subscription
Finance,16203,15841,-362,Starbucks,coffee,13 April 2027,Food & Dining
Sales,14131,11345,-2786,McDonald's,food,14 April 2027,Food & Dining
Finance,6521,6397,-124,Starbucks,coffee,15 April 2027,Food & Dining
Sales,5681,6138,457,Shell,diesel,16 April 2027,Fuel
Operations,19157,18529,-628,Amazon,online_shopping,17 April 2027,Shopping
Sales,10650,12199,1549,Netflix,entertainment,18 April 2027,Entertainment
HR,18865,17583,-1282,McDonald's,food,19 April 2027,Food & Dining
Sales,10642,8302,-2340,Shell,petrol,20 April 2027,Fuel
Marketing,14334,13721,-613,Starbucks,drinks,21 April 2027,Food & Dining
Sales,11007,12431,1424,Flipkart,online shopping,22 April 2027,Shopping
Finance,10342,12541,2199,McDonald's,food,23 April 2027,Food & Dining
HR,17128,16057,-1071,Amazon,online shopping,24 April 2027,Shopping
Finance,19241,21860,2619,Starbucks,drinks,25 April 2027,Food & Dining
IT,9823,10509,686,Starbucks,coffee,26 April 2027,Food & Dining
Sales,15426,14881,-545,Uber,travel,27 April 2027,Transportation
Operations,12138,11770,-368,Apple Store,app purchase,28 April 2027,Digital Services
Operations,14789,12174,-2615,Apple Store,online shopping,29 April 2027,Shopping
IT,5617,3411,-2206,Apple Store,online shopping,30 April 2027,Shopping
Finance,15937,13567,-2370,Flipkart,online shopping,01 May 2027,Shopping
Operations,14554,13377,-1177,Apple Store,app purchase,02 May 2027,Digital Services
Operations,11082,12715,1633,Apple Store,online shopping,03 May 2027,Shopping
Marketing,13033,10077,-2956,Flipkart,online shopping,04 May 2027,Shopping
Operations,8750,9701,951,McDonald's,drinks,05 May 2027,Food & Dining
Sales,7574,8273,699,Shell,petrol,06 May 2027,Fuel
Marketing,11934,13020,1086,Amazon,movie subscription,07 May 2027,Entertainment
Sales,19787,20869,1082,Shell,fuel purchase,08 May 2027,Fuel
IT,8440,11102,2662,Uber,ride to work,09 May 2027,Transportation
HR,6728,7504,776,McDonald's,coffee purchase,10 May 2027,Food & Dining
IT,5474,6612,1138,Netflix,movie subscription,11 May 2027,Entertainment
IT,12993,13089,96,McDonald's,food,12 May 2027,Food & Dining
Operations,11396,12577,1181,Starbucks,food,13 May 2027,Food & Dining
Finance,14710,13444,-1266,Netflix,movie subscription,14 May 2027,Entertainment
IT,17546,18001,455,Shell,diesel,15 May 2027,Fuel
Sales,12913,11441,-1472,Flipkart,online shopping,16 May 2027,Shopping
HR,19671,20617,946,Apple Store,app purchase,17 May 2027,Digital Services
Sales,6136,6140,4,Shell,fuel purchase,18 May 2027,Fuel
Marketing,8113,5955,-2158,Shell,fuel purchase,19 May 2027,Fuel
Operations,14356,15804,1448,Starbucks,food,20 May 2027,Food & Dining
Marketing,19154,16394,-2760,Amazon,movie subscription,21 May 2027,Entertainment
Operations,12159,12598,439,Uber,ride,22 May 2027,Transportation
Marketing,14421,14821,400,Flipkart,movie subscription,23 May 2027,Entertainment
Finance,19283,18285,-998,Uber,ride,24 May 2027,Transportation
HR,17431,15369,-2062,Netflix,movie,25 May 2027,Entertainment
Sales,10292,13067,2775,Amazon,movie subscription,26 May 2027,Entertainment
Sales,15421,16423,1002,Starbucks,drinks,27 May 2027,Food & Dining
Sales,19358,21817,2459,Netflix,monthly subscription,28 May 2027,Subscription
HR,6260,3494,-2766,Flipkart,online_shopping,29 May 2027,Shopping
HR,17647,19122,1475,Uber,travel,30 May 2027,Transportation
Operations,14301,14323,22,Starbucks,drinks,31 May 2027,Food & Dining
Sales,7545,10186,2641,Apple Store,online shopping,01 June 2027,Shopping
Sales,15866,16389,523,Starbucks,coffee,02 June 2027,Food & Dining
IT,10115,11559,1444,Amazon,online shopping,03 June 2027,Shopping
Finance,14535,17450,2915,Shell,petrol,04 June 2027,Fuel
Marketing,6735,3858,-2877,McDonald's,meal,05 June 2027,Food & Dining
Operations,18744,21287,2543,Starbucks,food,06 June 2027,Food & Dining
HR,19207,17215,-1992,Uber,travel,07 June 2027,Transportation
Finance,5918,6808,890,Uber,travel,08 June 2027,Transportation
Finance,13914,12460,-1454,Amazon,online_shopping,09 June 2027,Shopping
Operations,7555,7119,-436,Uber,travel,10 June 2027,Transportation
Operations,9176,12021,2845,McDonald's,meal,11 June 2027,Food & Dining
Operations,11196,12242,1046,Flipkart,online_shopping,12 June 2027,Shopping
IT,9081,11808,2727,Netflix,movie,13 June 2027,Entertainment
IT,7497,5627,-1870,Flipkart,online shopping,14 June 2027,Shopping
Finance,11260,14173,2913,Apple Store,online shopping,15 June 2027,Shopping
Marketing,12377,12235,-142,Starbucks,food,16 June 2027,Food & Dining
HR,14502,14518,16,Starbucks,drinks,17 June 2027,Food & Dining
Operations,17942,14949,-2993,Flipkart,online shopping,18 June 2027,Shopping
Marketing,9610,11195,1585,Uber,travel,19 June 2027,Transportation
Operations,11886,10689,-1197,Starbucks,drinks,20 June 2027,Food & Dining
Sales,14623,15172,549,Uber,travel,21 June 2027,Transportation
IT,12889,11730,-1159,McDonald's,coffee purchase,22 June 2027,Food & Dining
HR,11168,9417,-1751,Amazon,online shopping,23 June 2027,Shopping
Sales,5949,5862,-87,McDonald's,meal,24 June 2027,Food & Dining
Operations,10242,11321,1079,Apple Store,app purchase,25 June 2027,Digital Services
Marketing,14422,14818,396,Apple Store,app purchase,26 June 2027,Digital Services
Operations,6718,6939,221,Shell,diesel,27 June 2027,Fuel
Finance,19930,20549,619,Apple Store,app purchase,28 June 2027,Digital Services
HR,7486,4487,-2999,Netflix,entertainment,29 June 2027,Entertainment
Sales,10901,10429,-472,McDonald's,meal,30 June 2027,Food & Dining
HR,16966,16660,-306,Shell,diesel,01 July 2027,Fuel
IT,6314,8980,2666,Flipkart,online_shopping,02 July 2027,Shopping
Sales,12135,10513,-1622,Uber,ride to work,03 July 2027,Transportation
IT,18252,17750,-502,Uber,ride to work,04 July 2027,Transportation
HR,19855,18962,-893,McDonald's,drinks,05 July 2027,Food & Dining
